index,movie_id,title,genres,overview,keywords,runtime,origin_country,popularity,vote_count,vote_average,production_companies,release_date,budget,cast,director
323,524,Casino,"['Crime', 'Drama']","In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.","['drug abuse', 'casino', 'based on novel or book', 'poker', 'italian american', 'gambling', '1970s', 'fbi', 'pimp', 'greed', 'cocaine', 'overdose', 'marriage', 'car bomb', 'rise and fall', 'money', 'murder', 'organized crime', 'mafia', 'jewish american', 'las vegas', 'desert', 'safe deposit box', '1980s', 'dramatic', 'brutal violence', 'fbi surveillance']",179,['US'],7.8073,6097,7.998,"['Universal Pictures', 'Syalis DA', 'Légende Films', 'Cappa/De Fina Productions']",1995-11-22,50000000,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']",Martin Scorsese
324,525,The Blues Brothers,"['Music', 'Comedy', 'Action', 'Crime']","Jake Blues, just released from prison, puts his old band back together to save the Catholic home where he and his brother Elwood were raised.","['prison', 'chicago, illinois', 'dancing', 'concert', 'country music', 'nazi', 'jazz', 'nun', 'music instrument', 'blues', 'shopping mall', 'road trip', 'church', 'buddy', 'parole', 'music', 'awestruck', 'euphoric', 'ridiculous']",133,['US'],3.9918,4335,7.725,['Universal Pictures'],1980-06-16,27000000,"['Dan Aykroyd', 'John Belushi', 'James Brown', 'Cab Calloway']",John Landis
325,526,Ladyhawke,"['Adventure', 'Comedy', 'Fantasy']","Captain Etienne Navarre is a man on whose shoulders lies a cruel curse. Punished for loving each other, Navarre must become a wolf by night whilst his lover, Lady Isabeau, takes the form of a hawk by day. Together, with the thief Philippe Gaston, they must try to overthrow the corrupt Bishop and in doing so break the spell.","['moon', 'swordplay', 'twilight', 'monk', 'bishop', 'cathedral', 'falcon', 'solar eclipse', 'thief', 'sword and sorcery']",121,['US'],3.0579,1179,7.011,"['Warner Bros. Pictures', '20th Century Fox']",1985-03-27,20000000,"['Matthew Broderick', 'Rutger Hauer', 'Michelle Pfeiffer', 'Alfred Molina']",Richard Donner
326,527,Once Were Warriors,['Drama'],"A drama about a Maori family living in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.","['individual', 'suicide', 'rape', 'strong woman', 'tattoo', 'slum', 'funeral', 'alcohol', 'tradition', 'approved school ', 'loss of loved one', 'despair', 'indigenous', 'ghetto', 'violent husband', 'new zealand', 'maori', 'lack of prospects', 'maori tradition', 'teacher', 'youth gang', 'crush', 'domestic violence', 'rebellious youth', 'alcohol abuse', 'incest', 'unemployment', 'auckland']",99,"['NZ', 'US']",1.6849,452,7.382,"['Avalon Studios', 'New Zealand Film Commission', 'NZ on Air', 'Fish Entertainment']",1994-09-02,950000,"['Rena Owen', 'Temuera Morrison', 'Mamaengaroa Kerr-Bell', 'Julian Arahanga']",Lee Tamahori
327,530,A Grand Day Out,"['Family', 'Animation', 'Comedy']","Wallace and Gromit have run out of cheese, and this provides an excellent excuse for the duo to take their holiday to the moon, where, as everyone knows, there is ample cheese.  Preserved by the Academy Film Archive.","['moon', 'inventor', 'missile', 'human animal relationship', 'cheese', 'vacation', 'rocket', 'moon landing', 'anthropomorphism', 'stop motion', 'robot', 'dog', 'ski', 'claymation', 'plasticine', 'short film']",24,['GB'],2.8908,940,7.482,"['Aardman', 'NFTS']",1990-05-18,17300,['Peter Sallis'],Nick Park
328,531,The Wrong Trousers,"['Animation', 'Comedy', 'Family']","Wallace rents out Gromit's former bedroom to a penguin, who takes up an interest in the techno pants created by Wallace. However, Gromit later learns that the penguin is a wanted criminal.  Preserved by the Academy Film Archive.","['robbery', 'inventor', 'diamond', 'human animal relationship', 'penguin', 'telecontrol', 'villain', 'surrealism', 'anthropomorphism', 'betrayal', 'stop motion', 'criminal', 'dog', 'jewel heist', 'claymation', 'plasticine', 'short film']",30,['GB'],2.12,1078,7.8,"['Aardman', 'BBC Bristol Productions', 'BBC Lionheart Television', ""BBC Children's Productions""]",1993-12-17,0,['Peter Sallis'],Nick Park
329,532,A Close Shave,"['Family', 'Animation', 'Comedy']","Wallace's whirlwind romance with the proprietor of the local wool shop puts his head in a spin, and Gromit is framed for sheep-rustling in a fiendish criminal plot.","['prison', 'sheep', 'inventor', 'loyalty', 'innocence', 'human animal relationship', 'villain', 'surrealism', 'romance', 'anthropomorphism', 'stop motion', 'framed', 'dog', 'animals', 'wool', 'sheep rustling', 'claymation', 'plasticine', 'short film', 'store owner']",30,['GB'],2.1447,873,7.6,"['Aardman', 'BBC Bristol Productions', ""BBC Children's Productions""]",1996-03-07,0,"['Peter Sallis', 'Anne Reid']",Nick Park
330,533,Wallace & Gromit: The Curse of the Were-Rabbit,"['Adventure', 'Animation', 'Comedy', 'Family']","Cheese-loving eccentric Wallace and his cunning canine pal, Gromit, investigate a mystery in Nick Park's animated adventure, in which the lovable inventor and his intrepid pup run a business ridding the town of garden pests. Using only humane methods that turn their home into a halfway house for evicted vermin, the pair stumble upon a mystery involving a voracious vegetarian monster that threatens to ruin the annual veggie-growing contest.","['northern england', 'hunter', 'competition', 'village', 'garden', 'villain', 'parody', 'vegetable', 'yorkshire', 'stop motion', 'contest', 'dog', 'rabbit', 'pest control', 'giant vegetable', 'claymation', 'plasticine', 'joyous', 'whimsical']",85,"['US', 'GB']",4.7323,2907,7.114,"['Aardman', 'DreamWorks Animation']",2005-09-15,30000000,"['Peter Sallis', 'Ralph Fiennes', 'Helena Bonham Carter', 'Peter Kay']",Steve Box
331,534,Terminator Salvation,"['Action', 'Science Fiction', 'Thriller']","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.","['army', 'artificial intelligence (a.i.)', 'saving the world', 'prophecy', 'san francisco, california', 'gas station', 'cyborg', 'killer robot', 'dystopia', 'firearm', 'post-apocalyptic future', 'wartime', 'los angeles, california']",115,['US'],5.4698,6665,6.067,"['The Halcyon Company', 'Moritz Borman Productions', 'Wonderland Sound and Vision', 'Mandate International', 'T Asset Acquisition Company']",2009-05-20,200000000,"['Christian Bale', 'Sam Worthington', 'Moon Bloodgood', 'Helena Bonham Carter']",McG
332,535,Flashdance,"['Drama', 'Romance']","Alex Owens, a young woman juggling between two odd jobs, aspires to become a successful ballet dancer. Nick, who is her boss and lover, supports and encourages her to fulfil her dream.","['dancing', 'dance', 'locksmith']",95,['US'],3.6342,1522,6.5,"['Paramount Pictures', 'Don Simpson/Jerry Bruckheimer Films', 'The Guber-Peters Company', 'Polygram Pictures']",1983-04-14,7000000,"['Jennifer Beals', 'Michael Nouri', 'Sunny Johnson', 'Kyle T. Heffner']",Adrian Lyne
